"ID","SMILES","pIC50"
"CHEMBL3702986","CN([C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1)C(C)(C)C","7.8"
"CHEMBL3703066","CN(C)[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(OC(F)F)cc3)n2)[C@@H](C#N)C1","7.5"
"CHEMBL3909552","N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(NCCF)CC1","6.88"
"CHEMBL3912624","CC(C)(C)OC(=O)NC1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1","6.57"
"CHEMBL3917223","N#CC[C@]1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC[C@H](C(=O)NCC(F)(F)F)CC1","5.83"
"CHEMBL3922061","N#CC[C@]1(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)F)cc3)n2)CC[C@@H](N)CC1","7.48"
"CHEMBL3922614","CN(CCS(C)(=O)=O)C1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1","7.43"
"CHEMBL3923655","N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(NCC(F)(F)F)CC1","7.035"
"CHEMBL3936267","N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(NCC(F)F)CC1","7.89"
"CHEMBL3939566","CC(C)(C)OC(=O)C1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1","7.04"
